[2022-10-19 19:30:27] Текст ошибки: Ошибка соединения с базой данных! | Файл: C:\xampp\watch-shop\vendor\watchShop\core\Db.php | Строка: 16
[2023-03-13 17:49:31] Текст ошибки: Ошибка соединения с базой данных! | Файл: C:\Users\Vitaliy\Desktop\xamp-projects\watch-shop\vendor\watchShop\core\Db.php | Строка: 16
[2023-03-13 17:49:32] Текст ошибки: Страница не найдена! | Файл: C:\Users\Vitaliy\Desktop\xamp-projects\watch-shop\vendor\watchShop\core\Router.php | Строка: 46
[2023-03-13 17:50:04] Текст ошибки: Ошибка соединения с базой данных! | Файл: C:\Users\Vitaliy\Desktop\xamp-projects\watch-shop\vendor\watchShop\core\Db.php | Строка: 16
[2023-03-13 17:50:06] Текст ошибки: Ошибка соединения с базой данных! | Файл: C:\Users\Vitaliy\Desktop\xamp-projects\watch-shop\vendor\watchShop\core\Db.php | Строка: 16
[2023-03-13 17:51:45] Текст ошибки: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'watch_shop.test' doesn't exist | Файл: C:\Users\Vitaliy\Desktop\xamp-projects\watch-shop\vendor\gabordemooij\redbean\RedBeanPHP\Driver\RPDO.php | Строка: 206
[2023-03-13 17:52:49] Текст ошибки: Too few arguments to function watchShop\base\Controller::setData(), 0 passed in C:\Users\Vitaliy\Desktop\xamp-projects\watch-shop\app\controllers\MainController.php on line 26 and exactly 1 expected | Файл: C:\Users\Vitaliy\Desktop\xamp-projects\watch-shop\vendor\watchShop\core\base\Controller.php | Строка: 30
[2023-03-13 17:57:47] Текст ошибки: Страница не найдена! | Файл: C:\Users\Vitaliy\Desktop\xamp-projects\watch-shop\vendor\watchShop\core\Router.php | Строка: 46
[2023-03-13 18:05:48] Текст ошибки: Страница не найдена! | Файл: C:\Users\Vitaliy\Desktop\xamp-projects\watch-shop\vendor\watchShop\core\Router.php | Строка: 46
[2023-03-13 18:05:48] Текст ошибки: Страница не найдена! | Файл: C:\Users\Vitaliy\Desktop\xamp-projects\watch-shop\vendor\watchShop\core\Router.php | Строка: 46
[2023-03-13 18:05:48] Текст ошибки: Страница не найдена! | Файл: C:\Users\Vitaliy\Desktop\xamp-projects\watch-shop\vendor\watchShop\core\Router.php | Строка: 46
